Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-26,13:47:16,15:38:16,01:51:00,00:08:58,9,1,11.6,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-26,15:38:16,17:43:22,02:05:06,00:00:00,32,1,12.45,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-26,17:45:51,19:29:33,01:43:42,00:02:29,38,1,13.86,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-26,19:53:14,21:10:10,01:16:56,00:23:41,26,1,13.47,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-26,21:15:29,22:39:47,01:24:18,00:05:19,26,1,14.53,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-26,Vehiculo: 01,,,14:08:54,01:53:00,232,"8,00",104.54,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-27,06:54:23,09:02:25,02:08:02,00:00:00,42,1,16.54,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-27,09:05:00,11:31:00,02:26:00,00:02:35,37,1,14.73,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-27,11:44:16,14:01:04,02:16:48,00:13:16,49,1,13.94,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-27,14:34:03,16:40:12,02:06:09,00:32:59,23,1,15.73,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-27,16:40:12,18:24:37,01:44:25,00:00:00,36,1,14.46,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-27,18:26:04,20:33:35,02:07:31,00:01:27,30,1,15.6,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-27,20:41:25,21:54:35,01:13:10,00:07:50,23,1,12.74,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-27,Vehiculo: 01,,,14:02:05,00:58:07,240,"7,00",103.74,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-28,05:26:17,06:38:03,01:11:46,00:00:00,21,1,14.88,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-28,07:05:27,08:43:17,01:37:50,00:27:24,14,1,15.54,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-28,09:15:05,10:43:01,01:27:56,00:31:48,35,1,14.17,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-28,11:14:47,12:56:33,01:41:46,00:31:46,36,1,13.62,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-28,13:32:34,15:05:38,01:33:04,00:36:01,42,1,14.8,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-28,15:13:23,16:58:09,01:44:46,00:07:45,28,1,15.18,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-28,17:42:41,19:16:50,01:34:09,00:44:32,34,1,12.43,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-28,Vehiculo: 01,,,10:51:17,02:59:16,210,"7,00",100.62,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-29,08:01:43,09:46:50,01:45:07,00:00:00,3,1,6.19,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-29,15:13:41,16:54:54,01:41:13,05:26:51,40,1,13.76,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-29,17:00:55,18:54:05,01:53:10,00:06:01,43,1,14.13,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-29,18:57:45,20:41:32,01:43:47,00:03:40,26,1,14.82,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-29,20:51:06,22:18:30,01:27:24,00:09:34,28,1,13.34,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-29,Vehiculo: 01,,,08:30:41,05:46:06,140,"5,00",62.24,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
01,2024-07-30,05:58:41,06:54:40,00:55:59,00:00:00,34,1,7.05,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-30,08:33:51,09:53:00,01:19:09,01:39:11,12,1,7.77,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-30,12:40:05,14:12:51,01:32:46,02:47:05,24,1,15.18,85 4 HONDA - MINORISTA - HONDA,Ver
01,2024-07-30,14:48:42,16:50:51,02:02:09,00:35:51,29,1,15.48,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-30,17:08:48,19:11:40,02:02:52,00:17:57,28,1,13.48,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-30,19:20:54,20:56:10,01:35:16,00:09:14,28,1,14.14,85 1 HONDA - ORIENTAL - HONDA,Ver
01,2024-07-30,21:08:42,22:36:24,01:27:42,00:12:32,25,1,13.84,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-30,Vehiculo: 01,,,10:55:53,05:41:50,180,"7,00",86.94,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-15,06:35:05,07:26:40,00:51:35,00:00:00,32,1,9.5,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-15,08:33:24,09:17:15,00:43:51,01:06:44,25,1,7.94,85 1 HONDA - ORIENTAL - HONDA,Ver
